"Participant","Group","Line","Speaker","Word","AudioFile"
"P05","Group1",15,"P","Who wants to propose a slogan for the campaign?","P_15.wav"
"P05","Group1",16,"SA","I can brainstorm some ideas.","SA_16.wav"
"P05","Group1",17,"I","I’ll list potential taglines for social media.","I_17.wav"
"P05","Group1",18,"P","And what about flyers and distribution?","P_18.wav"
"P05","Group1",19,"SA","I can organize locations for poster placement.","SA_19.wav"
"P05","Group1",20,"I","I’ll design a template for the newsletter.","I_20.wav"
"P05","Group1",21,"P","Remember to document progress for the report.","P_21.wav"
"P05","Group1",22,"SA","Yes, I’ll keep track of all sources.","SA_22.wav"
"P05","Group1",23,"I","I’ll compile feedback from team members.","I_23.wav"
"P05","Group1",24,"P","We could do a trial run of our presentation.","P_24.wav"
"P05","Group1",25,"SA","Good idea, I can set up the projector and slides.","SA_25.wav"
"P05","Group1",26,"I","I’ll take photos of the draft materials for reference.","I_26.wav"
"P05","Group1",27,"P","And who will manage social media updates?","P_27.wav"
"P05","Group1",28,"SA","No problem, I can schedule posts.","SA_28.wav"
"P05","Group1",29,"I","Perfect, I’ll prepare a short summary for the stakeholders.","I_29.wav"
"P05","Group1",30,"P","Very well. We’ll meet on Thursday to review everything.","P_30.wav"
"P06","Group1",1,"SA","Hello! We need to make progress on our recycling awareness project. Who starts with what?","SA_1.wav"
"P06","Group1",2,"I","I can research local recycling statistics.","I_2.wav"
"P06","Group1",3,"P","Perfect, I’ll outline the project timeline.","P_3.wav"
"P06","Group1",4,"SA","And what about the graphic design?","SA_4.wav"
"P06","Group1",5,"I","I will create the main visual concept.","I_5.wav"
"P06","Group1",6,"P","Great. I can suggest color palettes for the posters.","P_6.wav"
"P06","Group1",7,"SA","Who wants to take care of the texts?","SA_7.wav"
"P06","Group1",8,"I","I’ll write short educational blurbs.","I_8.wav"
"P06","Group1",9,"P","Very well, I’ll draft a few catchy headings.","P_9.wav"
"P06","Group1",10,"SA","We should set a first meeting to review everything.","SA_10.wav"
"P06","Group1",11,"I","Yes, I’ll book a conference room.","I_11.wav"
"P06","Group1",12,"P","I’ll prepare a list of necessary materials.","P_12.wav"
"P06","Group1",13,"SA","Alice can create initial sketches for the illustrations.","SA_13.wav"
"P06","Group1",14,"I","Great, thanks! I’ll make a mood board to inspire the team.","I_14.wav"
"P06","Group1",15,"P","Who wants to propose a slogan for the campaign?","P_15.wav"
"P06","Group1",16,"SA","I can brainstorm some ideas.","SA_16.wav"
"P06","Group1",17,"I","I’ll list potential taglines for social media.","I_17.wav"
"P06","Group1",18,"P","And what about flyers and distribution?","P_18.wav"
"P06","Group1",19,"SA","I can organize locations for poster placement.","SA_19.wav"
"P06","Group1",20,"I","I’ll design a template for the newsletter.","I_20.wav"
"P06","Group1",21,"P","Remember to document progress for the report.","P_21.wav"
"P06","Group1",22,"SA","Yes, I’ll keep track of all sources.","SA_22.wav"
"P06","Group1",23,"I","I’ll compile feedback from team members.","I_23.wav"
"P06","Group1",24,"P","We could do a trial run of our presentation.","P_24.wav"
"P06","Group1",25,"SA","Good idea, I can set up the projector and slides.","SA_25.wav"
"P06","Group1",26,"I","I’ll take photos of the draft materials for reference.","I_26.wav"
"P06","Group1",27,"P","And who will manage social media updates?","P_27.wav"
"P06","Group1",28,"SA","No problem, I can schedule posts.","SA_28.wav"
"P06","Group1",29,"I","Perfect, I’ll prepare a short summary for the stakeholders.","I_29.wav"
"P06","Group1",30,"P","Very well. We’ll meet on Thursday to review everything.","P_30.wav"
"P07","Group1",1,"SA","Hello! We need to make progress on our recycling awareness project. Who starts with what?","SA_1.wav"
"P07","Group1",2,"I","I can research local recycling statistics.","I_2.wav"
"P07","Group1",3,"P","Perfect, I’ll outline the project timeline.","P_3.wav"
"P07","Group1",4,"SA","And what about the graphic design?","SA_4.wav"
"P07","Group1",5,"I","I will create the main visual concept.","I_5.wav"
"P07","Group1",6,"P","Great. I can suggest color palettes for the posters.","P_6.wav"
"P07","Group1",7,"SA","Who wants to take care of the texts?","SA_7.wav"
"P07","Group1",8,"I","I’ll write short educational blurbs.","I_8.wav"
"P07","Group1",9,"P","Very well, I’ll draft a few catchy headings.","P_9.wav"
"P07","Group1",10,"SA","We should set a first meeting to review everything.","SA_10.wav"
"P07","Group1",11,"I","Yes, I’ll book a conference room.","I_11.wav"
"P07","Group1",12,"P","I’ll prepare a list of necessary materials.","P_12.wav"
"P07","Group1",13,"SA","Alice can create initial sketches for the illustrations.","SA_13.wav"
"P07","Group1",14,"I","Great, thanks! I’ll make a mood board to inspire the team.","I_14.wav"
"P07","Group1",15,"P","Who wants to propose a slogan for the campaign?","P_15.wav"
"P07","Group1",16,"SA","I can brainstorm some ideas.","SA_16.wav"
"P07","Group1",17,"I","I’ll list potential taglines for social media.","I_17.wav"
"P07","Group1",18,"P","And what about flyers and distribution?","P_18.wav"
"P07","Group1",19,"SA","I can organize locations for poster placement.","SA_19.wav"
"P07","Group1",20,"I","I’ll design a template for the newsletter.","I_20.wav"
"P07","Group1",21,"P","Remember to document progress for the report.","P_21.wav"
"P07","Group1",22,"SA","Yes, I’ll keep track of all sources.","SA_22.wav"
"P07","Group1",23,"I","I’ll compile feedback from team members.","I_23.wav"
"P07","Group1",24,"P","We could do a trial run of our presentation.","P_24.wav"
"P07","Group1",25,"SA","Good idea, I can set up the projector and slides.","SA_25.wav"
"P07","Group1",26,"I","I’ll take photos of the draft materials for reference.","I_26.wav"
"P07","Group1",27,"P","And who will manage social media updates?","P_27.wav"
"P07","Group1",28,"SA","No problem, I can schedule posts.","SA_28.wav"
"P07","Group1",29,"I","Perfect, I’ll prepare a short summary for the stakeholders.","I_29.wav"
"P07","Group1",30,"P","Very well. We’ll meet on Thursday to review everything.","P_30.wav"
"P08","Group1",1,"SA","Hello! We need to make progress on our recycling awareness project. Who starts with what?","SA_1.wav"
"P08","Group1",2,"I","I can research local recycling statistics.","I_2.wav"
"P08","Group1",3,"P","Perfect, I’ll outline the project timeline.","P_3.wav"
"P08","Group1",4,"SA","And what about the graphic design?","SA_4.wav"
"P08","Group1",5,"I","I will create the main visual concept.","I_5.wav"
"P08","Group1",6,"P","Great. I can suggest color palettes for the posters.","P_6.wav"
"P08","Group1",7,"SA","Who wants to take care of the texts?","SA_7.wav"
"P08","Group1",8,"I","I’ll write short educational blurbs.","I_8.wav"
"P08","Group1",9,"P","Very well, I’ll draft a few catchy headings.","P_9.wav"
"P08","Group1",10,"SA","We should set a first meeting to review everything.","SA_10.wav"
"P08","Group1",11,"I","Yes, I’ll book a conference room.","I_11.wav"
"P08","Group1",12,"P","I’ll prepare a list of necessary materials.","P_12.wav"
"P08","Group1",13,"SA","Alice can create initial sketches for the illustrations.","SA_13.wav"
"P08","Group1",14,"I","Great, thanks! I’ll make a mood board to inspire the team.","I_14.wav"
"P08","Group1",15,"P","Who wants to propose a slogan for the campaign?","P_15.wav"
"P08","Group1",16,"SA","I can brainstorm some ideas.","SA_16.wav"
"P08","Group1",17,"I","I’ll list potential taglines for social media.","I_17.wav"
"P08","Group1",18,"P","And what about flyers and distribution?","P_18.wav"
"P08","Group1",19,"SA","I can organize locations for poster placement.","SA_19.wav"
"P08","Group1",20,"I","I’ll design a template for the newsletter.","I_20.wav"
"P08","Group1",21,"P","Remember to document progress for the report.","P_21.wav"
"P08","Group1",22,"SA","Yes, I’ll keep track of all sources.","SA_22.wav"
"P08","Group1",23,"I","I’ll compile feedback from team members.","I_23.wav"
"P08","Group1",24,"P","We could do a trial run of our presentation.","P_24.wav"
"P08","Group1",25,"SA","Good idea, I can set up the projector and slides.","SA_25.wav"
"P08","Group1",26,"I","I’ll take photos of the draft materials for reference.","I_26.wav"
"P08","Group1",27,"P","And who will manage social media updates?","P_27.wav"
"P08","Group1",28,"SA","No problem, I can schedule posts.","SA_28.wav"
"P08","Group1",29,"I","Perfect, I’ll prepare a short summary for the stakeholders.","I_29.wav"
"P08","Group1",30,"P","Very well. We’ll meet on Thursday to review everything.","P_30.wav"
"P09","Group1",1,"SA","Hello! We need to make progress on our recycling awareness project. Who starts with what?","SA_1.wav"
"P09","Group1",2,"I","I can research local recycling statistics.","I_2.wav"
"P09","Group1",3,"P","Perfect, I’ll outline the project timeline.","P_3.wav"
"P09","Group1",4,"SA","And what about the graphic design?","SA_4.wav"
"P09","Group1",5,"I","I will create the main visual concept.","I_5.wav"
"P09","Group1",6,"P","Great. I can suggest color palettes for the posters.","P_6.wav"
"P09","Group1",7,"SA","Who wants to take care of the texts?","SA_7.wav"
"P09","Group1",8,"I","I’ll write short educational blurbs.","I_8.wav"
"P09","Group1",9,"P","Very well, I’ll draft a few catchy headings.","P_9.wav"
"P09","Group1",10,"SA","We should set a first meeting to review everything.","SA_10.wav"
"P09","Group1",11,"I","Yes, I’ll book a conference room.","I_11.wav"
"P09","Group1",12,"P","I’ll prepare a list of necessary materials.","P_12.wav"
"P09","Group1",13,"SA","Alice can create initial sketches for the illustrations.","SA_13.wav"
"P09","Group1",14,"I","Great, thanks! I’ll make a mood board to inspire the team.","I_14.wav"
"P09","Group1",15,"P","Who wants to propose a slogan for the campaign?","P_15.wav"
"P09","Group1",16,"SA","I can brainstorm some ideas.","SA_16.wav"
"P09","Group1",17,"I","I’ll list potential taglines for social media.","I_17.wav"
"P09","Group1",18,"P","And what about flyers and distribution?","P_18.wav"
"P09","Group1",19,"SA","I can organize locations for poster placement.","SA_19.wav"
"P09","Group1",20,"I","I’ll design a template for the newsletter.","I_20.wav"
"P09","Group1",21,"P","Remember to document progress for the report.","P_21.wav"
"P09","Group1",22,"SA","Yes, I’ll keep track of all sources.","SA_22.wav"
"P09","Group1",23,"I","I’ll compile feedback from team members.","I_23.wav"
"P09","Group1",24,"P","We could do a trial run of our presentation.","P_24.wav"
"P09","Group1",25,"SA","Good idea, I can set up the projector and slides.","SA_25.wav"
"P09","Group1",26,"I","I’ll take photos of the draft materials for reference.","I_26.wav"
"P09","Group1",27,"P","And who will manage social media updates?","P_27.wav"
"P09","Group1",28,"SA","No problem, I can schedule posts.","SA_28.wav"
"P09","Group1",29,"I","Perfect, I’ll prepare a short summary for the stakeholders.","I_29.wav"
"P09","Group1",30,"P","Very well. We’ll meet on Thursday to review everything.","P_30.wav"
"P10","Group1",1,"I","Hello! We need to make progress on our recycling awareness project. Who starts with what?","I_1.wav"
"P10","Group1",2,"P","I can research local recycling statistics.","P_2.wav"
"P10","Group1",3,"SA","Perfect, I’ll outline the project timeline.","SA_3.wav"
"P10","Group1",4,"I","And what about the graphic design?","I_4.wav"
"P10","Group1",5,"P","I will create the main visual concept.","P_5.wav"
"P10","Group1",6,"SA","Great. I can suggest color palettes for the posters.","SA_6.wav"
"P10","Group1",7,"I","Who wants to take care of the texts?","I_7.wav"
"P10","Group1",8,"P","I’ll write short educational blurbs.","P_8.wav"
"P10","Group1",9,"SA","Very well, I’ll draft a few catchy headings.","SA_9.wav"
"P10","Group1",10,"I","We should set a first meeting to review everything.","I_10.wav"
"P10","Group1",11,"P","Yes, I’ll book a conference room.","P_11.wav"
"P10","Group1",12,"SA","I’ll prepare a list of necessary materials.","SA_12.wav"
"P10","Group1",13,"I","Alice can create initial sketches for the illustrations.","I_13.wav"
"P10","Group1",14,"P","Great, thanks! I’ll make a mood board to inspire the team.","P_14.wav"
"P10","Group1",15,"SA","Who wants to propose a slogan for the campaign?","SA_15.wav"
"P10","Group1",16,"I","I can brainstorm some ideas.","I_16.wav"
"P10","Group1",17,"P","I’ll list potential taglines for social media.","P_17.wav"
"P10","Group1",18,"SA","And what about flyers and distribution?","SA_18.wav"
"P10","Group1",19,"I","I can organize locations for poster placement.","I_19.wav"
"P10","Group1",20,"P","I’ll design a template for the newsletter.","P_20.wav"
"P10","Group1",21,"SA","Remember to document progress for the report.","SA_21.wav"
"P10","Group1",22,"I","Yes, I’ll keep track of all sources.","I_22.wav"
"P10","Group1",23,"P","I’ll compile feedback from team members.","P_23.wav"
"P10","Group1",24,"SA","We could do a trial run of our presentation.","SA_24.wav"
"P10","Group1",25,"I","Good idea, I can set up the projector and slides.","I_25.wav"
"P10","Group1",26,"P","I’ll take photos of the draft materials for reference.","P_26.wav"
"P10","Group1",27,"SA","And who will manage social media updates?","SA_27.wav"
"P10","Group1",28,"I","No problem, I can schedule posts.","I_28.wav"
"P10","Group1",29,"P","Perfect, I’ll prepare a short summary for the stakeholders.","P_29.wav"
"P10","Group1",30,"SA","Very well. We’ll meet on Thursday to review everything.","SA_30.wav"
"P11","Group1",1,"P","Hello! We need to make progress on our recycling awareness project. Who starts with what?","P_1.wav"
"P11","Group1",2,"SA","I can research local recycling statistics.","SA_2.wav"
"P11","Group1",3,"I","Perfect, I’ll outline the project timeline.","I_3.wav"
"P11","Group1",4,"P","And what about the graphic design?","P_4.wav"
"P11","Group1",5,"SA","I will create the main visual concept.","SA_5.wav"
"P11","Group1",6,"I","Great. I can suggest color palettes for the posters.","I_6.wav"
"P11","Group1",7,"P","Who wants to take care of the texts?","P_7.wav"
"P11","Group1",8,"SA","I’ll write short educational blurbs.","SA_8.wav"
"P11","Group1",9,"I","Very well, I’ll draft a few catchy headings.","I_9.wav"
"P11","Group1",10,"P","We should set a first meeting to review everything.","P_10.wav"
"P11","Group1",11,"SA","Yes, I’ll book a conference room.","SA_11.wav"
"P11","Group1",12,"I","I’ll prepare a list of necessary materials.","I_12.wav"
"P11","Group1",13,"P","Alice can create initial sketches for the illustrations.","P_13.wav"
"P11","Group1",14,"SA","Great, thanks! I’ll make a mood board to inspire the team.","SA_14.wav"
"P11","Group1",15,"I","Who wants to propose a slogan for the campaign?","I_15.wav"
"P11","Group1",16,"P","I can brainstorm some ideas.","P_16.wav"
"P11","Group1",17,"SA","I’ll list potential taglines for social media.","SA_17.wav"
"P11","Group1",18,"I","And what about flyers and distribution?","I_18.wav"
"P11","Group1",19,"P","I can organize locations for poster placement.","P_19.wav"
"P11","Group1",20,"SA","I’ll design a template for the newsletter.","SA_20.wav"
"P11","Group1",21,"I","Remember to document progress for the report.","I_21.wav"
"P11","Group1",22,"P","Yes, I’ll keep track of all sources.","P_22.wav"
"P11","Group1",23,"SA","I’ll compile feedback from team members.","SA_23.wav"
"P11","Group1",24,"I","We could do a trial run of our presentation.","I_24.wav"
"P11","Group1",25,"P","Good idea, I can set up the projector and slides.","P_25.wav"
"P11","Group1",26,"SA","I’ll take photos of the draft materials for reference.","SA_26.wav"
"P11","Group1",27,"I","And who will manage social media updates?","I_27.wav"
"P11","Group1",28,"P","No problem, I can schedule posts.","P_28.wav"
"P11","Group1",29,"SA","Perfect, I’ll prepare a short summary for the stakeholders.","SA_29.wav"
"P11","Group1",30,"I","Very well. We’ll meet on Thursday to review everything.","I_30.wav"
"P12","Group1",1,"SA","Hello! We need to make progress on our recycling awareness project. Who starts with what?","SA_1.wav"
"P12","Group1",2,"I","I can research local recycling statistics.","I_2.wav"
"P12","Group1",3,"P","Perfect, I’ll outline the project timeline.","P_3.wav"
"P12","Group1",4,"SA","And what about the graphic design?","SA_4.wav"
"P12","Group1",5,"I","I will create the main visual concept.","I_5.wav"
"P12","Group1",6,"P","Great. I can suggest color palettes for the posters.","P_6.wav"
"P12","Group1",7,"SA","Who wants to take care of the texts?","SA_7.wav"
"P12","Group1",8,"I","I’ll write short educational blurbs.","I_8.wav"
"P12","Group1",9,"P","Very well, I’ll draft a few catchy headings.","P_9.wav"
"P12","Group1",10,"SA","We should set a first meeting to review everything.","SA_10.wav"
"P12","Group1",11,"I","Yes, I’ll book a conference room.","I_11.wav"
"P12","Group1",12,"P","I’ll prepare a list of necessary materials.","P_12.wav"
"P12","Group1",13,"SA","Alice can create initial sketches for the illustrations.","SA_13.wav"
"P12","Group1",14,"I","Great, thanks! I’ll make a mood board to inspire the team.","I_14.wav"
"P12","Group1",15,"P","Who wants to propose a slogan for the campaign?","P_15.wav"
"P12","Group1",16,"SA","I can brainstorm some ideas.","SA_16.wav"
"P12","Group1",17,"I","I’ll list potential taglines for social media.","I_17.wav"
"P12","Group1",18,"P","And what about flyers and distribution?","P_18.wav"
"P12","Group1",19,"SA","I can organize locations for poster placement.","SA_19.wav"
"P12","Group1",20,"I","I’ll design a template for the newsletter.","I_20.wav"
"P12","Group1",21,"P","Remember to document progress for the report.","P_21.wav"
"P12","Group1",22,"SA","Yes, I’ll keep track of all sources.","SA_22.wav"
"P12","Group1",23,"I","I’ll compile feedback from team members.","I_23.wav"
"P12","Group1",24,"P","We could do a trial run of our presentation.","P_24.wav"
"P12","Group1",25,"SA","Good idea, I can set up the projector and slides.","SA_25.wav"
"P12","Group1",26,"I","I’ll take photos of the draft materials for reference.","I_26.wav"
"P12","Group1",27,"P","And who will manage social media updates?","P_27.wav"
"P12","Group1",28,"SA","No problem, I can schedule posts.","SA_28.wav"
"P12","Group1",29,"I","Perfect, I’ll prepare a short summary for the stakeholders.","I_29.wav"
"P12","Group1",30,"P","Very well. We’ll meet on Thursday to review everything.","P_30.wav"
"P13","Group1",1,"P","Hello! We need to make progress on our recycling awareness project. Who starts with what?","P_1.wav"
"P13","Group1",2,"SA","I can research local recycling statistics.","SA_2.wav"
"P13","Group1",3,"I","Perfect, I’ll outline the project timeline.","I_3.wav"
"P13","Group1",4,"P","And what about the graphic design?","P_4.wav"
"P13","Group1",5,"SA","I will create the main visual concept.","SA_5.wav"
"P13","Group1",6,"I","Great. I can suggest color palettes for the posters.","I_6.wav"
"P13","Group1",7,"P","Who wants to take care of the texts?","P_7.wav"
"P13","Group1",8,"SA","I’ll write short educational blurbs.","SA_8.wav"
"P13","Group1",9,"I","Very well, I’ll draft a few catchy headings.","I_9.wav"
"P13","Group1",10,"P","We should set a first meeting to review everything.","P_10.wav"
